date_observacional,rents
2011-01-15,208
2011-01-16,140
2011-01-17,218
2011-01-18,259
2011-01-19,579
2011-01-20,532
2011-01-21,639
2011-01-22,195
2011-01-23,74
2011-01-24,139
2011-01-25,100
2011-01-26,120
2011-01-27,424
2011-01-28,694
2011-01-29,81
2011-01-30,137
2011-01-31,231
2011-02-01,123
2011-02-02,214
2011-02-03,640
2011-02-04,114
2011-02-05,244
2011-02-06,316
2011-02-07,191
2011-02-08,46
2011-02-09,247
2011-02-10,724
2011-02-11,982
2011-02-12,359
2011-02-13,289
2011-02-14,321
2011-02-15,424
2011-02-16,884
2011-02-17,1424
2011-02-18,1047
2011-02-19,401
2011-02-20,460
2011-02-21,203
2011-02-22,166
2011-02-23,300
2011-02-24,981
2011-02-25,472
2011-02-26,222
2011-02-27,317
2011-02-28,168
2011-03-01,179
2011-03-02,307
2011-03-03,898
2011-03-04,1651
2011-03-05,734
2011-03-06,167
2011-03-07,413
2011-03-08,571
2011-03-09,172
2011-03-10,879
2011-03-11,1188
2011-03-12,855
2011-03-13,257
2011-03-14,209
2011-03-15,529
2011-03-16,642
2011-03-17,121
2011-03-18,1558
2011-03-19,669
2011-03-20,409
2011-03-21,613
2011-03-22,745
2011-03-23,177
2011-03-24,1462
2011-03-25,1710
2011-03-26,773
2011-03-27,678
2011-03-28,547
2011-03-29,569
2011-03-30,878
2011-03-31,1965
2011-04-01,1138
2011-04-02,847
2011-04-03,603
2011-04-04,255
2011-04-05,614
2011-04-06,894
2011-04-07,1612
2011-04-08,1401
2011-04-09,664
2011-04-10,694
2011-04-11,550
2011-04-12,695
2011-04-13,692
2011-04-14,902
2011-04-15,1582
2011-04-16,773
2011-04-17,678
2011-04-18,536
2011-04-19,735
2011-04-20,909
2011-04-21,2258
2011-04-22,1576
2011-04-23,836
2011-04-24,659
2011-04-25,740
2011-04-26,758
2011-04-27,871
2011-04-28,2001
2011-04-29,2355
2011-04-30,1549
2011-05-01,673
2011-05-02,513
2011-05-03,736
2011-05-04,898
2011-05-05,1869
2011-05-06,1685
2011-05-07,673
2011-05-08,763
2011-05-09,676
2011-05-10,563
2011-05-11,815
2011-05-12,1729
2011-05-13,1467
2011-05-14,863
2011-05-15,727
2011-05-16,769
2011-05-17,545
2011-05-18,863
2011-05-19,1807
2011-05-20,1639
2011-05-21,699
2011-05-22,774
2011-05-23,661
2011-05-24,746
2011-05-25,969
2011-05-26,1782
2011-05-27,1920
2011-05-28,854
2011-05-29,732
2011-05-30,848
2011-05-31,1027
2011-06-01,1246
2011-06-02,2204
2011-06-03,2282
