Id,Weekly_Sales
1_1_2012-11-02,38208.32346656701
1_1_2012-11-09,23155.879907193226
1_1_2012-11-16,22708.539394034484
1_1_2012-11-23,22790.51124082343
1_1_2012-11-30,25050.308170053453
1_1_2012-12-07,33636.735482044285
1_1_2012-12-14,43677.548668237025
1_1_2012-12-21,49785.15898875733
1_1_2012-12-28,27587.505335214675
1_1_2013-01-04,19679.64603681827
1_1_2013-01-11,19514.716743465728
1_1_2013-01-18,19535.11902074469
1_1_2013-01-25,19059.63487065105
1_1_2013-02-01,24186.73658171115
1_1_2013-02-08,38093.221202655484
1_1_2013-02-15,43625.81036385935
1_1_2013-02-22,21939.103506715757
1_1_2013-03-01,20309.73621813778
1_1_2013-03-08,22203.491100873438
1_1_2013-03-15,23835.50976905392
1_1_2013-03-22,24760.351133704993
1_1_2013-03-29,30276.470545853226
1_1_2013-04-05,51761.77397104386
1_1_2013-04-12,31007.894304989015
1_1_2013-04-19,22217.559313883077
1_1_2013-04-26,30946.410910680257
1_1_2013-05-03,19656.77511957506
1_1_2013-05-10,18718.83607177735
1_1_2013-05-17,19413.520757926424
1_1_2013-05-24,18077.38014426631
1_1_2013-05-31,17306.63421292819
1_1_2013-06-07,18452.619298989925
1_1_2013-06-14,18767.3937103333
1_1_2013-06-21,17672.068185525393
1_1_2013-06-28,17179.777053255206
1_1_2013-07-05,18767.3937103333
1_1_2013-07-12,17630.718625435482
1_1_2013-07-19,17493.910557921437
1_1_2013-07-26,16864.080659124542
1_2_2012-11-02,47914.165311651945
1_2_2012-11-09,47045.24853665824
1_2_2012-11-16,47221.775239771414
1_2_2012-11-23,46510.807749141
1_2_2012-11-30,47674.31751171683
1_2_2012-12-07,49385.8104472766
1_2_2012-12-14,53179.181519526064
1_2_2012-12-21,70995.95893118676
1_2_2012-12-28,48880.23061563865
1_2_2013-01-04,49830.36321848466
1_2_2013-01-11,47408.73304791897
1_2_2013-01-18,45732.83942472785
1_2_2013-01-25,43320.67113187104
1_2_2013-02-01,54215.74497967448
1_2_2013-02-08,54311.386515302824
1_2_2013-02-15,52095.82952764946
1_2_2013-02-22,51733.37196969288
1_2_2013-03-01,54181.30972257853
1_2_2013-03-08,51326.27115993799
1_2_2013-03-15,50741.8729165519
1_2_2013-03-22,49785.33589255879
1_2_2013-03-29,50823.88103739173
1_2_2013-04-05,55747.80159648281
1_2_2013-04-12,46812.06742371944
1_2_2013-04-19,46291.14341230815
1_2_2013-04-26,45827.90598309354
1_2_2013-05-03,49710.50614665028
1_2_2013-05-10,48522.72705339174
1_2_2013-05-17,47936.063831095766
1_2_2013-05-24,46553.28846936993
1_2_2013-05-31,47517.45026350074
1_2_2013-06-07,48606.77925252455
1_2_2013-06-14,50120.30504040789
1_2_2013-06-21,50043.30193567721
1_2_2013-06-28,49644.73827162158
1_2_2013-07-05,52629.38450601833
1_2_2013-07-12,48577.2123459844
1_2_2013-07-19,46678.550242946716
1_2_2013-07-26,45708.9376068893
1_3_2012-11-02,10040.694827377203
1_3_2012-11-09,10261.451289225135
1_3_2012-11-16,10590.609013803902
1_3_2012-11-23,10424.239030516177
1_3_2012-11-30,10543.741957943728
1_3_2012-12-07,11959.259661165737
1_3_2012-12-14,13143.15836463276
1_3_2012-12-21,14048.719476830547
1_3_2012-12-28,10081.667113125524
1_3_2013-01-04,13150.772036482791
1_3_2013-01-11,12731.29485045206
1_3_2013-01-18,12561.945318160082
1_3_2013-01-25,11380.52804267755
1_3_2013-02-01,12728.214674732348
1_3_2013-02-08,13208.431939921371
1_3_2013-02-15,11525.987332848605
1_3_2013-02-22,11229.23754828633
1_3_2013-03-01,11650.715047744356
1_3_2013-03-08,12217.496706048043
1_3_2013-03-15,10091.775454972489
1_3_2013-03-22,8655.479287066368
1_3_2013-03-29,9252.929585401323
1_3_2013-04-05,10299.909080775076
1_3_2013-04-12,8532.009957188431
1_3_2013-04-19,9067.007963058944
1_3_2013-04-26,8802.381266626344
1_3_2013-05-03,10059.989974480857
1_3_2013-05-10,10630.356441486596
1_3_2013-05-17,9778.128660471351
