Id,Weekly_Sales
1_1_2012-11-02,37786.62178261576
1_1_2012-11-09,22439.50524715338
1_1_2012-11-16,21863.84246197993
1_1_2012-11-23,22218.59145041711
1_1_2012-11-30,24605.418600046814
1_1_2012-12-07,32590.970035708757
1_1_2012-12-14,40881.164152207624
1_1_2012-12-21,46230.951059846346
1_1_2012-12-28,27763.739287708915
1_1_2013-01-04,19343.250320166135
1_1_2013-01-11,18552.339574665264
1_1_2013-01-18,18540.085049662506
1_1_2013-01-25,18385.73233953799
1_1_2013-02-01,22238.12436127621
1_1_2013-02-08,36455.974905896896
1_1_2013-02-15,52320.552784605046
1_1_2013-02-22,24288.442576957186
1_1_2013-03-01,21069.053725825823
1_1_2013-03-08,21727.423592891515
1_1_2013-03-15,23399.6703400578
1_1_2013-03-22,29749.317411544784
1_1_2013-03-29,42475.1424710489
1_1_2013-04-05,80302.09014356766
1_1_2013-04-12,30939.347861391077
1_1_2013-04-19,20777.786483125412
1_1_2013-04-26,26521.99383882942
1_1_2013-05-03,18333.421831692085
1_1_2013-05-10,18594.820695097886
1_1_2013-05-17,18720.631208316354
1_1_2013-05-24,17694.79806269955
1_1_2013-05-31,17309.993697051024
1_1_2013-06-07,18307.252368791727
1_1_2013-06-14,18405.40134687512
1_1_2013-06-21,17506.180705205126
1_1_2013-06-28,16733.22343510871
1_1_2013-07-05,18719.56898310457
1_1_2013-07-12,17161.846295184747
1_1_2013-07-19,17020.299806318068
1_1_2013-07-26,16746.01835311709
1_2_2012-11-02,48556.98994322746
1_2_2012-11-09,46268.81424197105
1_2_2012-11-16,46498.24665456194
1_2_2012-11-23,46180.43918274992
1_2_2012-11-30,46844.07245210642
1_2_2012-12-07,49004.2841509835
1_2_2012-12-14,53113.52805706466
1_2_2012-12-21,66222.26172430084
1_2_2012-12-28,48359.570848304094
1_2_2013-01-04,49189.66212663222
1_2_2013-01-11,45722.13454693258
1_2_2013-01-18,45723.28533102502
1_2_2013-01-25,43186.70228197931
1_2_2013-02-01,54234.363827752626
1_2_2013-02-08,52993.26146703616
1_2_2013-02-15,49266.271174896625
1_2_2013-02-22,49274.874567393046
1_2_2013-03-01,52208.59771493581
1_2_2013-03-08,50330.0388208544
1_2_2013-03-15,49367.36857937282
1_2_2013-03-22,48060.778981080504
1_2_2013-03-29,48119.939409431674
1_2_2013-04-05,52720.61501430033
1_2_2013-04-12,46414.03564922033
1_2_2013-04-19,46372.93642537854
1_2_2013-04-26,45133.367328915985
1_2_2013-05-03,49382.30557239904
1_2_2013-05-10,48071.391505701955
1_2_2013-05-17,46139.632055474605
1_2_2013-05-24,46273.67426549212
1_2_2013-05-31,47751.30547962896
1_2_2013-06-07,48856.420995740475
1_2_2013-06-14,48649.39539381181
1_2_2013-06-21,48115.33534238539
1_2_2013-06-28,48231.12441734318
1_2_2013-07-05,51291.71619150043
1_2_2013-07-12,47442.14081893136
1_2_2013-07-19,45824.71998647398
1_2_2013-07-26,44862.89286358606
1_3_2012-11-02,9879.254872587431
1_3_2012-11-09,10187.759049356619
1_3_2012-11-16,10511.980947425498
1_3_2012-11-23,10608.043923353436
1_3_2012-11-30,10518.7040778906
1_3_2012-12-07,12096.871546585287
1_3_2012-12-14,12913.426775097814
1_3_2012-12-21,13893.200413763621
1_3_2012-12-28,10151.95948614593
1_3_2013-01-04,13230.488332083478
1_3_2013-01-11,12747.5535118545
1_3_2013-01-18,12206.72892255366
1_3_2013-01-25,11159.959278096288
1_3_2013-02-01,12459.164374366745
1_3_2013-02-08,12938.930405449826
1_3_2013-02-15,11344.905721069377
1_3_2013-02-22,11158.4498006602
1_3_2013-03-01,11439.907988129593
1_3_2013-03-08,12093.275109075475
1_3_2013-03-15,10044.722790713136
1_3_2013-03-22,8984.152071372011
1_3_2013-03-29,9088.89979206996
1_3_2013-04-05,9885.416251074694
1_3_2013-04-12,8198.462126582262
1_3_2013-04-19,8699.272795850555
1_3_2013-04-26,8621.81305527002
1_3_2013-05-03,9774.345369474775
1_3_2013-05-10,10557.698387733037
1_3_2013-05-17,9753.224314392919
1_3_2013-05-24,8868.884491281278
1_3_2013-05-31,8013.260672397713
1_3_2013-06-07,8804.121908517121
1_3_2013-06-14,8263.053337847528
1_3_2013-06-21,8067.901191685127
1_3_2013-06-28,7761.0338615406345
1_3_2013-07-05,8718.64406456999
1_3_2013-07-12,11329.516852461713
1_3_2013-07-19,16521.728300774703
1_3_2013-07-26,19756.164166347513
1_4_2012-11-02,40210.61935459241
1_4_2012-11-09,38249.35699216514
1_4_2012-11-16,39035.08865957606
1_4_2012-11-23,46398.77978410778
1_4_2012-11-30,39703.076482659046
1_4_2012-12-07,40183.5195876724
1_4_2012-12-14,39677.83549491679
1_4_2012-12-21,46786.97326128944
1_4_2012-12-28,38070.875225541444
1_4_2013-01-04,42181.01906946327
1_4_2013-01-11,38270.751600847456
1_4_2013-01-18,35660.407545481496
1_4_2013-01-25,34939.40299447614
1_4_2013-02-01,40100.998139932875
1_4_2013-02-08,40261.98803880268
1_4_2013-02-15,37658.44878454022
1_4_2013-02-22,36628.87567823009
1_4_2013-03-01,38463.64831868401
1_4_2013-03-08,38645.64508450533
1_4_2013-03-15,38664.018752647455
1_4_2013-03-22,38854.53418894058
1_4_2013-03-29,38677.16570222659
1_4_2013-04-05,43604.99807332164
1_4_2013-04-12,38049.686534432905
1_4_2013-04-19,37437.909760538736
1_4_2013-04-26,36868.06453863612
1_4_2013-05-03,41274.943689200874
1_4_2013-05-10,37731.177623106
1_4_2013-05-17,36844.68762903376
1_4_2013-05-24,38861.95376288547
1_4_2013-05-31,40293.41951221537
1_4_2013-06-07,41874.772394559965
1_4_2013-06-14,40223.71100423234
1_4_2013-06-21,39330.34603702821
1_4_2013-06-28,39916.47689396011
1_4_2013-07-05,44913.07507267437
1_4_2013-07-12,39383.53572581868
1_4_2013-07-19,38872.04748951006
1_4_2013-07-26,36357.70554525648
1_5_2012-11-02,35898.85748373029
1_5_2012-11-09,36203.429737042345
1_5_2012-11-16,32482.435334420952
1_5_2012-11-23,80643.69855781997
1_5_2012-11-30,32444.94317072818
1_5_2012-12-07,35806.997516353906
1_5_2012-12-14,36660.87499266724
1_5_2012-12-21,51250.94630988668
1_5_2012-12-28,32487.002639329847
1_5_2013-01-04,25610.976675737173
1_5_2013-01-11,19745.85477556671
1_5_2013-01-18,18672.974101785352
1_5_2013-01-25,19985.41705072372
1_5_2013-02-01,25820.744361433175
1_5_2013-02-08,36291.96584816066
1_5_2013-02-15,43582.48050177546
1_5_2013-02-22,31674.891039170496
1_5_2013-03-01,29737.05110759826
1_5_2013-03-08,26423.36169725122
1_5_2013-03-15,27296.72964939243
1_5_2013-03-22,24532.092027168193
1_5_2013-03-29,22682.02074220852
1_5_2013-04-05,27728.407629760924
1_5_2013-04-12,18031.822825542222
1_5_2013-04-19,17129.574976758115
1_5_2013-04-26,16563.62170903541
1_5_2013-05-03,17889.898380981034
1_5_2013-05-10,17176.63914526856
1_5_2013-05-17,17885.690661947883
1_5_2013-05-24,18276.52165097308
1_5_2013-05-31,17258.142492393566
1_5_2013-06-07,23451.12011273717
1_5_2013-06-14,21918.060278859193
1_5_2013-06-21,23228.44364092192
1_5_2013-06-28,21163.804148725478
1_5_2013-07-05,20116.701944829016
1_5_2013-07-12,18004.300132726148
1_5_2013-07-19,17153.27525636395
1_5_2013-07-26,14953.753685922009
1_6_2012-11-02,5776.1017357455685
1_6_2012-11-09,3923.474730410405
1_6_2012-11-16,2838.157463658686
1_6_2012-11-23,12545.511186922453
